date,dcoilwtico
01-01-2013,
02-01-2013,93.14
03-01-2013,92.97
04-01-2013,93.12
07-01-2013,93.2
08-01-2013,93.21
09-01-2013,93.08
10-01-2013,93.81
11-01-2013,93.6
14-01-2013,94.27
15-01-2013,93.26
16-01-2013,94.28
17-01-2013,95.49
18-01-2013,95.61
21-01-2013,
22-01-2013,96.09
23-01-2013,95.06
24-01-2013,95.35
25-01-2013,95.15
28-01-2013,95.95
29-01-2013,97.62
30-01-2013,97.98
31-01-2013,97.65
01-02-2013,97.46
04-02-2013,96.21
05-02-2013,96.68
06-02-2013,96.44
07-02-2013,95.84
08-02-2013,95.71
11-02-2013,97.01
12-02-2013,97.48
13-02-2013,97.03
14-02-2013,97.3
15-02-2013,95.95
18-02-2013,
19-02-2013,96.69
20-02-2013,94.92
21-02-2013,92.79
22-02-2013,93.12
25-02-2013,92.74
26-02-2013,92.63
27-02-2013,92.84
28-02-2013,92.03
01-03-2013,90.71
04-03-2013,90.13
05-03-2013,90.88
06-03-2013,90.47
07-03-2013,91.53
08-03-2013,92.01
11-03-2013,92.07
12-03-2013,92.44
13-03-2013,92.47
14-03-2013,93.03
15-03-2013,93.49
18-03-2013,93.71
19-03-2013,92.44
20-03-2013,93.21
21-03-2013,92.46
22-03-2013,93.41
25-03-2013,94.55
26-03-2013,95.99
27-03-2013,96.53
28-03-2013,97.24
29-03-2013,
01-04-2013,97.1
02-04-2013,97.23
03-04-2013,95.02
04-04-2013,93.26
05-04-2013,92.76
08-04-2013,93.36
09-04-2013,94.18
10-04-2013,94.59
11-04-2013,93.44
12-04-2013,91.23
15-04-2013,88.75
16-04-2013,88.73
17-04-2013,86.65
18-04-2013,87.83
19-04-2013,88.04
22-04-2013,88.81
23-04-2013,89.21
24-04-2013,91.07
25-04-2013,93.27
26-04-2013,92.63
29-04-2013,94.09
30-04-2013,93.22
01-05-2013,90.74
02-05-2013,93.7
03-05-2013,95.25
06-05-2013,95.8
07-05-2013,95.28
08-05-2013,96.24
09-05-2013,96.09
10-05-2013,95.81
13-05-2013,94.76
14-05-2013,93.96
15-05-2013,93.95
16-05-2013,94.85
17-05-2013,95.72
20-05-2013,96.29
21-05-2013,95.55
22-05-2013,93.98
23-05-2013,94.12
24-05-2013,93.84
27-05-2013,
28-05-2013,94.65
29-05-2013,93.13
30-05-2013,93.57
31-05-2013,91.93
03-06-2013,93.41
04-06-2013,93.36
05-06-2013,93.66
06-06-2013,94.71
07-06-2013,96.11
10-06-2013,95.82
11-06-2013,95.5
12-06-2013,95.98
13-06-2013,96.66
14-06-2013,97.83
17-06-2013,97.86
18-06-2013,98.46
19-06-2013,98.24
20-06-2013,94.89
21-06-2013,93.81
24-06-2013,95.07
25-06-2013,95.25
